,start_date,end_date,retail_type_code,retail_type_description_original,retail_type_description_en,turnover_index,average_anual_variation_rate,year_on_year_rate_of_change,monthly_rate_of_change
179,2023-05-01,2023-05-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",149.51,11.7,9.0,-0.3
180,2023-04-01,2023-04-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",149.99,11.9,10.7,2.6
181,2023-03-01,2023-03-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",146.16,12.0,10.1,12.2
182,2023-02-01,2023-02-28,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",130.24,11.6,13.9,-4.2
183,2023-01-01,2023-01-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",135.89,10.9,13.4,-23.5
184,2022-12-01,2022-12-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",177.53,10.3,11.1,24.2
185,2022-11-01,2022-11-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",142.93,10.2,10.6,-3.1
186,2022-10-01,2022-10-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",147.56,10.1,12.5,4.7
187,2022-09-01,2022-09-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",140.96,9.5,12.1,-10.3
188,2022-08-01,2022-08-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",157.06,8.9,12.3,2.1
189,2022-07-01,2022-07-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",153.87,8.2,13.8,13.4
190,2022-06-01,2022-06-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",135.65,7.5,10.9,-1.1
191,2022-05-01,2022-05-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",137.12,7.2,11.3,1.2
192,2022-04-01,2022-04-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",135.46,6.4,12.3,2.1
193,2022-03-01,2022-03-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",132.72,6.2,5.0,16.1
194,2022-02-01,2022-02-28,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",114.34,5.9,4.7,-4.6
195,2022-01-01,2022-01-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",119.81,5.5,5.0,-25.0
196,2021-12-01,2021-12-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",159.8,5.5,9.9,23.7
197,2021-11-01,2021-11-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",129.18,4.8,9.3,-1.5
198,2021-10-01,2021-10-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",131.14,4.1,5.9,4.3
199,2021-09-01,2021-09-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",125.71,4.2,4.7,-10.1
200,2021-08-01,2021-08-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",139.85,3.9,5.0,3.4
201,2021-07-01,2021-07-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",135.22,3.4,5.9,10.5
202,2021-06-01,2021-06-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",122.33,3.1,6.5,-0.7
203,2021-05-01,2021-05-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",123.17,2.4,2.0,2.1
204,2021-04-01,2021-04-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",120.66,2.5,10.2,-4.5
205,2021-03-01,2021-03-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",126.36,1.5,1.6,15.7
206,2021-02-01,2021-02-28,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",109.2,2.1,-0.4,-4.3
207,2021-01-01,2021-01-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",114.08,2.9,3.9,-21.5
208,2020-12-01,2020-12-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",145.36,3.0,3.4,22.9
209,2020-11-01,2020-11-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",118.23,2.8,1.1,-4.5
210,2020-10-01,2020-10-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",123.82,2.9,6.3,3.2
211,2020-09-01,2020-09-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",120.01,2.5,1.9,-9.9
212,2020-08-01,2020-08-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",133.16,2.5,-0.5,4.3
213,2020-07-01,2020-07-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",127.68,2.7,1.7,11.1
214,2020-06-01,2020-06-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",114.88,2.8,-2.2,-4.9
215,2020-05-01,2020-05-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",120.77,3.4,3.8,10.3
216,2020-04-01,2020-04-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",109.48,3.4,-3.2,-11.9
217,2020-03-01,2020-03-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",124.31,4.4,9.0,13.4
218,2020-02-01,2020-02-29,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",109.63,3.6,12.0,-0.2
219,2020-01-01,2020-01-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",109.82,3.0,5.5,-21.9
220,2019-12-01,2019-12-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",140.64,3.0,0.4,20.3
221,2019-11-01,2019-11-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",116.92,3.4,3.2,0.4
222,2019-10-01,2019-10-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",116.43,3.6,1.6,-1.2
223,2019-09-01,2019-09-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",117.8,4.0,1.2,-11.9
224,2019-08-01,2019-08-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",133.78,4.4,2.0,6.5
225,2019-07-01,2019-07-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",125.58,5.0,2.8,7.0
226,2019-06-01,2019-06-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",117.41,5.1,4.5,0.9
227,2019-05-01,2019-05-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",116.39,5.2,3.7,2.9
228,2019-04-01,2019-04-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",113.11,5.6,9.5,-0.9
229,2019-03-01,2019-03-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",114.08,4.5,0.0,16.5
230,2019-02-01,2019-02-28,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",97.9,5.6,3.5,-6.0
231,2019-01-01,2019-01-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",104.12,5.6,5.1,-25.6
232,2023-10-01,2023-10-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",124.18,9.3,1.5,-6.4
233,2023-09-01,2023-09-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",132.63,10.3,5.2,-8.8
234,2023-08-01,2023-08-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",145.36,11.4,5.7,6.5
235,2023-07-01,2023-07-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",,,,
236,2023-06-01,2023-06-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",132.25,14.0,9.0,-1.8
237,2023-05-01,2023-05-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",134.7,14.9,14.8,8.7
238,2023-04-01,2023-04-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",123.96,15.1,9.1,2.8
239,2023-03-01,2023-03-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",120.6,15.9,11.8,16.3
240,2023-02-01,2023-02-28,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",103.68,16.0,11.8,-2.4
241,2023-01-01,2023-01-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",106.19,16.4,17.6,-25.5
242,2022-12-01,2022-12-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",142.58,15.6,12.2,23.0
243,2022-11-01,2022-11-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",115.93,15.2,12.6,-5.2
244,2022-10-01,2022-10-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",122.33,15.5,13.0,-3.0
245,2022-09-01,2022-09-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",126.12,15.2,18.1,-8.3
246,2022-08-01,2022-08-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",137.5,14.4,19.9,5.5
247,2022-07-01,2022-07-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",130.32,13.6,19.6,7.4
248,2022-06-01,2022-06-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",121.3,12.5,19.3,3.4
249,2022-05-01,2022-05-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",117.3,12.0,16.6,3.3
250,2022-04-01,2022-04-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",113.6,12.0,18.7,5.3
251,2022-03-01,2022-03-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",107.87,11.7,13.3,16.3
252,2022-02-01,2022-02-28,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",92.76,10.3,16.2,2.7
253,2022-01-01,2022-01-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",90.32,7.7,6.5,-28.9
254,2021-12-01,2021-12-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",127.07,6.1,8.3,23.4
255,2021-11-01,2021-11-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",103.0,4.8,15.0,-4.8
256,2021-10-01,2021-10-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",108.25,2.9,9.7,1.3
257,2021-09-01,2021-09-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",106.81,1.3,8.9,-6.9
258,2021-08-01,2021-08-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",114.68,0.0,11.2,5.2
259,2021-07-01,2021-07-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",108.99,-2.6,7.4,7.2
260,2021-06-01,2021-06-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",101.64,-4.3,13.5,1.0
261,2021-05-01,2021-05-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",100.64,-6.4,18.1,5.2
262,2021-04-01,2021-04-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",95.71,-9.4,15.8,0.6
263,2021-03-01,2021-03-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",95.18,-12.0,-2.9,19.2
264,2021-02-01,2021-02-28,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",79.82,-11.9,-16.2,-5.9
265,2021-01-01,2021-01-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",84.8,-10.1,-12.1,-27.7
266,2020-12-01,2020-12-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",117.36,-8.9,-4.4,31.0
267,2020-11-01,2020-11-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",89.58,-8.0,-8.4,-9.3
268,2020-10-01,2020-10-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",98.72,-8.4,-8.8,0.7
269,2020-09-01,2020-09-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",98.06,-7.1,-5.8,-4.9
270,2020-08-01,2020-08-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",103.12,-6.3,-16.2,1.6
271,2020-07-01,2020-07-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",101.51,-3.4,-12.2,13.3
272,2020-06-01,2020-06-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",89.56,-1.9,-14.2,5.1
273,2020-05-01,2020-05-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",85.25,-1.1,-21.8,3.1
274,2020-04-01,2020-04-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",82.68,1.0,-21.3,-15.7
275,2020-03-01,2020-03-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",98.07,3.6,-1.3,3.0
276,2020-02-01,2020-02-29,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",95.23,3.0,9.8,-1.3
277,2020-01-01,2020-01-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",96.45,2.4,5.1,-21.4
278,2019-12-01,2019-12-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",122.73,2.1,5.6,25.5
279,2019-11-01,2019-11-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",97.81,1.3,3.6,-9.7
280,2019-10-01,2019-10-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",108.28,0.7,4.7,4.0
281,2019-09-01,2019-09-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",104.07,0.4,1.8,-15.4
282,2019-08-01,2019-08-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",123.03,-0.3,3.8,6.4
283,2019-07-01,2019-07-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",115.65,-0.6,3.8,10.8
284,2019-06-01,2019-06-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",104.36,-1.1,-4.0,-4.3
285,2019-05-01,2019-05-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",109.03,-0.7,1.6,3.8
286,2019-04-01,2019-04-30,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",105.0,-0.8,10.5,5.7
287,2019-03-01,2019-03-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",99.34,-2.4,-7.7,14.5
288,2019-02-01,2019-02-28,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",86.74,-1.4,0.2,-5.5
289,2019-01-01,2019-01-31,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados","Retail trade of food, beverages and tobacco products, in specialized establishments",91.76,-1.3,1.0,-21.0
290,2023-10-01,2023-10-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,134.41,1.8,-0.1,1.8
291,2023-09-01,2023-09-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,132.02,2.7,0.1,-1.1
292,2023-08-01,2023-08-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,133.45,3.5,-2.9,-5.1
293,2023-07-01,2023-07-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,,,,
294,2023-06-01,2023-06-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,130.09,5.9,-0.6,-2.2
295,2023-05-01,2023-05-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,133.08,7.1,-0.5,7.7
296,2023-04-01,2023-04-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,123.62,8.3,0.8,-5.1
297,2023-03-01,2023-03-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,130.27,9.7,0.9,13.3
298,2023-02-01,2023-02-28,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,115.01,12.0,2.2,-7.4
299,2023-01-01,2023-01-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,124.19,14.5,10.7,-21.6
300,2022-12-01,2022-12-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,158.4,15.5,7.0,13.8
301,2022-11-01,2022-11-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,139.14,16.2,4.6,3.4
302,2022-10-01,2022-10-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,134.52,17.8,10.0,2.0
303,2022-09-01,2022-09-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,131.87,17.8,11.0,-4.1
304,2022-08-01,2022-08-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,137.5,17.6,13.8,-1.3
305,2022-07-01,2022-07-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,139.28,17.1,12.9,6.5
306,2022-06-01,2022-06-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,130.82,16.5,13.7,-2.2
307,2022-05-01,2022-05-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,133.78,16.5,13.3,9.1
308,2022-04-01,2022-04-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,122.67,18.3,18.8,-5.0
309,2022-03-01,2022-03-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,129.14,20.1,32.3,14.8
310,2022-02-01,2022-02-28,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,112.54,18.0,40.9,0.3
311,2022-01-01,2022-01-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,112.22,12.8,25.8,-24.2
312,2021-12-01,2021-12-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,148.06,8.9,13.0,11.4
313,2021-11-01,2021-11-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,132.96,6.4,20.9,8.8
314,2021-10-01,2021-10-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,122.26,3.5,10.0,2.9
315,2021-09-01,2021-09-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,118.79,2.0,7.4,-1.7
316,2021-08-01,2021-08-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,120.87,1.3,8.3,-2.0
317,2021-07-01,2021-07-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,123.32,-0.1,5.8,7.2
318,2021-06-01,2021-06-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,115.05,-1.3,13.1,-2.6
319,2021-05-01,2021-05-31,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,118.08,-3.1,38.2,14.3
320,2021-04-01,2021-04-30,CR3,Comércio a retalho de produtos não alimentares,Retail trade of non -food products,103.29,-7.9,51.2,5.8
